Model,Metric,Optimizer,User_based,k,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
KNNWithZScore,cosine,als,False,10,0.7497634957026891,0.423539430819859,0.5621452994883163,0.16287878787878787,0.1101010101010101,67.81609195402298,upsampled_df_smote_auto
KNNWithZScore,msd,sgd,True,5,0.8720430892219371,0.5077742479905244,0.7604591494597394,0.16855158730158729,0.12786346436501236,62.06896551724138,upsampled_df_smote_auto
KNNWithZScore,msd,sgd,True,10,0.7484092944531637,0.4133651215028837,0.5601164720238824,0.24107142857142858,0.19179645542427495,67.81609195402298,upsampled_df_smote_auto
KNNWithZScore,msd,als,True,5,0.8542316509476272,0.5330204375763399,0.7297117134807087,0.14009661835748793,0.09654823721319884,58.620689655172406,upsampled_df_smote_auto
KNNWithZScore,msd,als,True,10,0.8195189021359884,0.48769420372713074,0.6716112309581758,0.20625,0.15853174603174605,63.601532567049816,upsampled_df_smote_auto
KNNWithZScore,msd,sgd,False,5,0.7003134450677108,0.39654349381245946,0.4904389213426056,0.2574074074074074,0.21456476530005944,67.43295019157088,upsampled_df_smote_auto
KNNWithZScore,msd,sgd,False,10,0.8123941383762169,0.47660948629334327,0.6599842360680358,0.2017857142857143,0.12751831501831504,63.984674329501914,upsampled_df_smote_auto
KNNWithZScore,msd,als,False,5,0.8650962871945752,0.5088901873814634,0.748391586117839,0.2011661807580175,0.12366842341332138,61.68582375478927,upsampled_df_smote_auto
KNNWithZScore,msd,als,False,10,0.7859352850944331,0.4552948127879862,0.6176942723564679,0.24952919020715633,0.19130163621689045,65.13409961685824,upsampled_df_smote_auto
KNNWithZScore,pearson,sgd,True,5,0.8773755605045617,0.5211761043933609,0.7697878741706937,0.22653061224489796,0.17528011204481792,64.36781609195403,upsampled_df_smote_auto
KNNWithZScore,pearson,sgd,True,10,0.7477528143841692,0.4074376028663673,0.5591342714194458,0.2212962962962963,0.19777777777777777,69.34865900383141,upsampled_df_smote_auto
KNNWithZScore,pearson,als,True,5,0.8665427279842735,0.5055992156957231,0.7508962994224265,0.13333333333333333,0.0929590017825312,62.45210727969349,upsampled_df_smote_auto
KNNWithZScore,pearson,als,True,10,0.7942210330463607,0.4248340809876568,0.6307870493332284,0.1906779661016949,0.1549306625577812,69.34865900383141,upsampled_df_smote_auto
KNNWithZScore,pearson,sgd,False,5,0.8585627289956127,0.4920711394084168,0.7371299596203938,0.1875,0.13931814713064714,63.984674329501914,upsampled_df_smote_auto
KNNWithZScore,pearson,sgd,False,10,0.7780693533449329,0.4118891461620798,0.605391918614602,0.20601092896174864,0.1676114186360088,69.34865900383141,upsampled_df_smote_auto
KNNWithZScore,pearson,als,False,5,0.8267204661307824,0.4981386615242962,0.6834667291194981,0.19322033898305085,0.1372025338127033,62.06896551724138,upsampled_df_smote_auto
KNNWithZScore,pearson,als,False,10,0.8465011299273314,0.5032866127035387,0.7165641629682488,0.16845878136200718,0.1290876027830487,62.45210727969349,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,sgd,True,5,0.8645983676207399,0.5227781012467808,0.7475303372924482,0.1475,0.13148809523809524,60.15325670498084,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,sgd,True,10,0.7826147766236342,0.4446206127562756,0.6124858885896609,0.19523809523809524,0.11873840445269015,65.90038314176245,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,als,True,5,0.7329813257673089,0.43787467287168635,0.5372616239236018,0.20175438596491227,0.13243968507126402,63.984674329501914,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,als,True,10,0.7726261077564219,0.4054212716962123,0.5969511023868381,0.16558441558441558,0.13816410861865408,69.73180076628353,upsampled_df_smote_auto
KNNWithZScore,pearson_baseline,sgd,False,5,0.7373303392738799,0.40216268484473283,0.5436560292137349,0.15,0.1118347338935574,69.34865900383141,upsampled_df_smote_auto
